Topology,car_cache,ec2_vcpus,ec2_memorylevel,ec2_instances,latency,cost,complexity,scalability
3.0,2,14,2,30,0.625,4.0512,10,8.9404
3.0,6,14,2,26,0.625,2.2512,10,8.8168
3.0,4,4,2,19,0.545,2.7012,10,8.9341
3.0,9,8,1,31,0.57,2.0014,10,8.8504
3.0,9,6,3,54,0.57,2.0014,10,8.8505
3.0,2,10,1,72,0.57,4.0512,10,8.9614
3.0,8,8,1,14,0.57,2.0262,10,8.8544
3.0,3,12,3,67,0.625,3.0012,10,8.8935
3.0,3,4,1,70,0.535,3.0012,10,8.9521
3.0,1,8,3,91,0.5875,6.3012,10,8.9812
3.0,6,14,3,70,0.7125,2.2512,10,8.6998
3.0,7,6,2,62,0.57,2.187,10,8.8737
3.0,9,2,1,99,0.51375,2.0014,10,8.9212
3.0,9,12,3,81,0.625,2.0013,10,8.7719
3.0,3,12,1,55,0.5875,3.0012,10,8.9195
3.0,6,14,1,94,0.5875,2.2512,10,8.8597
3.0,10,6,2,53,0.57,1.8912,10,8.8347
3.0,5,6,2,9,0.57,2.3412,10,8.8889
3.0,4,4,2,71,0.545,2.7012,10,8.9341
3.0,2,14,3,83,0.7125,4.0512,10,8.9009
3.0,5,12,2,42,0.625,2.3412,10,8.8294
3.0,1,16,1,48,0.625,6.3012,10,8.975
3.0,4,10,3,91,0.625,2.7012,10,8.8697
3.0,1,14,2,40,0.625,6.3012,10,8.975
3.0,9,14,3,20,0.7125,2.0014,10,8.6282
3.0,9,6,2,82,0.57,2.0013,10,8.8508
3.0,4,8,1,67,0.57,2.7012,10,8.9153
3.0,8,6,2,74,0.57,2.0262,10,8.8544
3.0,10,12,1,48,0.5875,1.8912,10,8.808
3.0,7,10,1,28,0.57,2.187,10,8.8724
3.0,10,14,3,35,0.7125,1.8912,10,8.5898
3.0,3,12,2,44,0.625,3.0012,10,8.8935
3.0,10,14,2,74,0.625,1.8912,10,8.7476
3.0,3,6,1,3,0.545,3.0012,10,8.9463
3.0,10,12,1,50,0.5875,1.8912,10,8.808
3.0,8,8,1,73,0.57,2.0262,10,8.8544
3.0,8,12,2,77,0.625,2.0262,10,8.7772
3.0,6,6,1,59,0.545,2.2512,10,8.907
3.0,2,4,1,51,0.535,4.0512,10,8.9733
3.0,1,8,1,45,0.57,6.3012,10,8.9838
3.0,2,10,3,9,0.625,4.0512,10,8.9404
3.0,3,4,2,41,0.545,3.0012,10,8.9463
3.0,2,8,3,55,0.5875,4.0512,10,8.955
3.0,4,12,3,14,0.625,2.7012,10,8.8697
3.0,5,16,2,58,0.7125,2.3412,10,8.7203
3.0,8,4,3,30,0.545,2.0262,10,8.8864
3.0,6,12,2,25,0.625,2.2512,10,8.8168
3.0,10,8,2,64,0.5875,1.8912,10,8.808
3.0,7,8,1,70,0.57,2.1871,10,8.8734
3.0,10,6,2,89,0.57,1.8912,10,8.8347
3.0,5,12,2,11,0.625,2.3412,10,8.8294
3.0,2,2,2,94,0.5225,4.0512,10,8.9772
3.0,7,16,1,31,0.625,2.187,10,8.8064
3.0,10,2,1,76,0.51375,1.8912,10,8.913
3.0,9,10,2,95,0.5875,2.0014,10,8.8264
3.0,8,12,3,88,0.625,2.0262,10,8.7772
3.0,10,16,3,29,0.75,1.8912,10,8.5158
3.0,1,14,1,4,0.5875,6.3012,10,8.9812
3.0,8,10,1,58,0.57,2.0262,10,8.8544
3.0,9,12,2,55,0.625,2.0014,10,8.7716
3.0,2,4,1,26,0.535,4.0512,10,8.9733
3.0,10,12,3,39,0.625,1.8912,10,8.7476
3.0,2,12,3,36,0.625,4.0512,10,8.9404
3.0,2,16,3,16,0.75,4.0512,10,8.8819
3.0,10,8,1,14,0.57,1.8912,10,8.8347
3.0,3,10,1,60,0.57,3.0012,10,8.9309
3.0,1,8,1,95,0.57,6.3012,10,8.9838
3.0,4,8,2,39,0.5875,2.7012,10,8.9014
3.0,2,2,1,83,0.51375,4.0512,10,8.9799
3.0,7,4,3,44,0.545,2.1849,10,8.9106
3.0,9,10,1,1,0.57,2.0013,10,8.8508
3.0,8,8,1,87,0.57,2.0262,10,8.8544
3.0,7,6,2,27,0.57,2.187,10,8.8737
3.0,2,6,2,93,0.57,4.0512,10,8.9614
3.0,8,4,1,13,0.535,2.0262,10,8.8986
3.0,10,12,1,97,0.5875,1.8912,10,8.808
3.0,2,8,2,48,0.5875,4.0512,10,8.955
3.0,1,6,1,25,0.545,6.3012,10,8.9875
3.0,10,2,3,37,0.5225,1.8912,10,8.9016
3.0,7,16,1,69,0.625,2.1871,10,8.8048
3.0,5,2,2,47,0.5225,2.3412,10,8.9341
3.0,9,12,1,66,0.5875,2.0014,10,8.8264
3.0,7,16,3,34,0.75,2.1871,10,8.6248
3.0,5,14,3,87,0.7125,2.3412,10,8.7203
3.0,5,10,3,17,0.625,2.3412,10,8.8294
3.0,4,6,3,8,0.57,2.7012,10,8.9153
3.0,3,10,2,41,0.5875,3.0012,10,8.9195
3.0,3,8,2,10,0.5875,3.0012,10,8.9172
3.0,2,10,2,85,0.5875,4.0512,10,8.955
3.0,5,6,1,5,0.545,2.3412,10,8.9134
3.0,3,6,2,57,0.57,3.0012,10,8.9309
3.0,8,10,1,65,0.57,2.0262,10,8.8544
3.0,1,6,1,75,0.545,6.3012,10,8.9875
3.0,1,14,1,24,0.5875,6.3012,10,8.9812
3.0,1,4,1,22,0.535,6.3012,10,8.9888
3.0,10,6,1,79,0.545,1.8912,10,8.8709
3.0,7,10,2,70,0.5875,2.1871,10,8.8529
3.0,3,6,2,22,0.57,3.0012,10,8.9309
3.0,7,12,1,36,0.5875,2.187,10,8.8532
