Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
1.3,1,1,1,1550,0.7,8,3,0,4.9503,9,8.2117
1.3,1,1,1,600,1,8,2,0,4.9325,9,8.2618
1.3,5,0,1,350,0.5,4,3,0,1.2885,9,6.2866
1.3,8,0,1,1300,0.7,10,3,0,2.7688,9,1.8284
1.3,2,1,1,800,0.7,10,1,0,2.6894,9,7.5992
1.3,5,0,0,2350,0.9,16,2,0,1.8118,9,4.4707
1.3,8,0,0,300,0.8,6,3,0,0.79448,9,6.3721
1.3,10,1,0,900,0.1,8,1,0,0.55874,9,7.2485
1.3,9,0,0,2900,0.4,14,3,0,1.8338,9,2.454
1.3,9,1,1,3850,0.8,12,1,0,0.96411,9,4.6675
1.3,6,0,0,4000,0.4,16,2,0,1.9955,9,3.3825
1.3,2,0,0,900,0.1,16,2,0,2.543,9,7.9629
1.3,10,0,1,750,0.4,16,1,0,1.9795,9,2.046
1.3,1,1,1,1100,1,10,3,0,4.9839,9,8.1491
1.3,1,1,0,3000,0.3,4,2,0,4.5683,9,8.9329
1.3,1,0,0,3600,1,6,2,0,4.8086,9,8.4805
1.3,5,1,0,1350,0.8,8,1,0,1.0087,9,8.0572
1.3,6,1,0,2350,0.7,12,3,0,0.96145,9,7.0206
1.3,1,0,1,1600,0.5,12,2,0,4.967,9,8.1932
1.3,10,1,1,2650,0,8,2,0,0.88252,9,4.5891
1.3,10,1,0,3250,0.3,6,2,0,0.54739,9,7.3987
1.3,6,1,1,250,0.4,4,3,0,1.1332,9,5.9568
1.3,7,0,1,2400,0.2,8,2,0,3.5394,9,1.6347
1.3,5,0,1,3650,0.7,8,3,0,4.6175,9,1.7542
1.3,2,0,0,1450,0.8,12,1,0,2.5556,9,7.9887
1.3,8,1,1,800,0.2,4,3,0,0.94565,9,5.3535
1.3,10,0,1,800,0.8,6,1,0,2.1429,9,1.89
1.3,2,1,1,2400,0.1,12,1,0,2.7141,9,7.5221
1.3,2,1,0,3850,0.5,8,1,0,2.3587,9,8.6755
1.3,9,0,0,1450,0.8,14,1,0,1.3853,9,3.2484
1.3,4,1,1,3000,0.4,4,1,0,1.4904,9,6.8652
1.3,3,0,0,300,0.4,2,3,0,1.5711,9,8.6313
1.3,10,1,1,1300,0.1,14,2,0,0.96991,9,4.1756
1.3,7,0,0,2550,0,16,2,0,1.4121,9,4.0971
1.3,3,0,1,3250,0.5,2,3,0,3.3312,9,4.0708
