Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,complexity,scalability
2.1,7,1,0,8600,6,0.3,7300,88,3,4,3,0,136.4359,16,0.2355173
2.1,1,1,0,4600,1,0.7,8150,512,2,14,3,0,16.9628,16,8.79649
2.1,7,0,0,7400,7,0.3,5250,736,6,14,2,0,145.1083,16,0.2198467
2.1,1,0,0,2900,8,0.4,5700,808,6,16,1,0,28.0484,16,4.94806
2.1,10,0,0,6450,5,1,7500,232,7,4,1,0,377.5465,16,0.06828999
2.1,9,0,1,1300,3,0.1,8700,392,6,12,2,0,12.6954,16,8.87794
2.1,10,1,0,2100,6,0.2,4750,664,10,2,3,0,35.5877,16,0.728645
2.1,7,1,0,8050,7,0.6,5400,120,6,6,2,0,281.7986,16,0.1140283
2.1,10,1,1,3700,8,0.5,2750,760,10,14,3,0,12.1132,16,8.82764
2.1,9,1,1,2150,5,0.3,6900,576,7,6,2,0,12.178,16,8.93734
2.1,6,1,1,6600,7,0,9050,880,4,8,3,0,12.9845,16,8.90902
2.1,6,0,1,9150,6,0.4,9550,128,6,4,1,0,13.3195,16,8.97285
2.1,2,1,0,6450,5,0,9750,648,7,12,3,0,12.214,16,6.4204
2.1,9,0,0,5900,9,0.1,6550,400,5,14,3,0,77.8436,16,0.355313
2.1,8,1,1,6550,2,1,4800,432,7,2,2,0,12.2718,16,8.98229
2.1,4,0,1,5600,9,0.1,4350,784,1,16,3,0,14.7388,16,8.83784
2.1,7,1,1,2000,3,0,1300,744,2,10,1,0,12.691,16,8.91442
2.1,4,0,0,2350,4,0.1,6100,208,10,14,1,0,12.2112,16,3.70226
2.1,7,1,0,6050,2,1,9850,864,5,8,2,0,69.5807,16,0.461809
2.1,10,0,0,2400,9,0.1,2100,344,5,12,2,0,36.4309,16,0.707333
2.1,9,0,1,550,5,1,7650,792,6,16,3,0,12.7892,16,8.81282
2.1,1,0,0,6500,7,0.5,700,264,3,6,2,0,42.9331,16,3.43445
2.1,8,1,1,2150,7,0.9,5150,1000,7,14,1,0,12.4155,16,8.87694
2.1,10,0,1,2500,2,0.2,1750,152,5,8,3,0,12.4445,16,8.90507
2.1,6,0,0,850,3,0.3,1150,480,3,8,1,0,9.7266,16,3.53841
2.1,8,1,1,1600,4,0.9,9650,144,4,2,2,0,12.2718,16,8.98229
2.1,4,1,1,6300,4,0.4,3100,104,1,12,3,0,14.2666,16,8.87483
2.1,10,0,0,2100,9,0.3,4600,600,2,14,3,0,82.2172,16,0.313424
2.1,4,1,1,5600,1,1,7350,176,1,2,3,0,14.0987,16,8.98318
2.1,10,0,0,3250,2,0.1,5200,8,5,8,3,0,17.5025,16,1.4723
2.1,6,1,1,2800,3,0.8,2100,976,3,2,2,0,12.8793,16,8.9843
2.1,3,0,0,5200,10,0,8550,768,7,2,1,0,10.8684,16,5.04585
2.1,3,1,0,7850,4,0.7,2700,288,8,2,2,0,76.4796,16,0.722965
2.1,3,1,0,1900,3,0.4,8000,496,9,6,1,0,13.5914,16,4.07111
2.1,6,0,0,8250,10,1,5550,8,4,4,2,0,617.6559,16,0.05571627
