Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,18,256,7,0,0.18892,10,-0.0054103
1.2,13,320,10,0,0.17633,10,-0.0052443
1.2,81,2688,3,0,0.19618,10,-0.24818
1.2,70,128,6,0,0.18382,10,-0.0090382
1.2,57,2240,5,0,0.18339,10,-0.16598
1.2,24,1984,7,0,0.19135,10,-0.064255
1.2,3,704,3,5.6018e-17,0.18358,10,-0.0027309
1.2,92,3968,1,0,0.24205,10,-0.31833
1.2,43,192,7,0,0.18905,10,-0.0086049
1.2,100,9984,6,0,0.25005,10,-0.59958
1.2,98,256,9,0,0.18453,10,-0.027418
1.2,40,1216,1,5.1969e-17,0.2227,10,-0.052999
1.2,52,960,3,0,0.18597,10,-0.062643
1.2,20,4544,3,4.4476e-17,0.18908,10,-0.12947
1.2,26,1088,4,5.5733e-17,0.19411,10,-0.036152
1.2,28,4352,3,0,0.19099,10,-0.16548
1.2,29,192,1,0,0.22036,10,-0.0047867
1.2,95,768,10,0,0.17968,10,-0.089487
1.2,96,2816,5,4.4545e-17,0.19192,10,-0.29703
1.2,46,2048,6,0,0.18883,10,-0.12444
1.2,19,3328,4,0,0.19644,10,-0.088078
1.2,1,8000,5,0,0.17668,10,-0.014981
1.2,17,7040,4,0,0.20043,10,-0.16368
1.2,30,6144,6,0,0.19517,10,-0.23354
1.2,62,1024,8,0,0.18218,10,-0.082646
1.2,14,3776,2,0,0.22332,10,-0.066138
1.2,76,704,5,5.6505e-17,0.17874,10,-0.067354
1.2,20,3776,3,0,0.18801,10,-0.10765
1.2,75,448,2,4.443e-17,0.22166,10,-0.032794
1.2,37,384,6,4.4472e-17,0.18411,10,-0.016599
1.2,11,5888,2,0,0.22425,10,-0.083719
1.2,46,192,5,0,0.17649,10,-0.0094947
1.2,76,192,3,0,0.18404,10,-0.0148
1.2,95,256,5,0,0.17716,10,-0.027697
1.2,73,5184,3,7.5351e-17,0.20776,10,-0.38308
1.2,68,192,10,0,0.17665,10,-0.014007
1.2,3,1088,2,5.5733e-17,0.22032,10,-0.0038239
1.2,14,576,1,0,0.22052,10,-0.008402
1.2,45,1728,3,0,0.18776,10,-0.10228
1.2,63,1088,9,0,0.18702,10,-0.086514
1.2,76,256,2,0,0.22096,10,-0.017901
1.2,55,960,8,0,0.18154,10,-0.067754
1.2,57,256,3,0,0.18409,10,-0.016079
1.2,24,1856,2,0,0.2226,10,-0.051958
1.2,79,320,3,0,0.18457,10,-0.028591
1.2,62,4160,2,0,0.23605,10,-0.25597
1.2,53,320,9,5.5957e-17,0.18422,10,-0.019501
1.2,62,5888,10,0,0.19928,10,-0.37749
1.2,84,576,2,0,0.22241,10,-0.048094
1.2,1,1984,6,0,0.1836,10,-0.003306
1.2,97,1472,2,4.4446e-17,0.22776,10,-0.14389
1.2,9,5376,2,0,0.22321,10,-0.064064
1.2,18,576,3,0,0.18396,10,-0.012847
1.2,44,128,6,0,0.1837,10,-0.0058002
1.2,12,128,4,0,0.19271,10,-0.0015012
1.2,79,9984,9,7.3263e-17,0.23607,10,-0.55071
1.2,8,384,6,4.4472e-17,0.18362,10,-0.0038749
1.2,61,3648,8,6.3635e-17,0.19263,10,-0.2672
1.2,32,192,7,0,0.18897,10,-0.0065169
1.2,93,960,6,0,0.18795,10,-0.10649
1.2,91,128,8,0,0.17933,10,-0.01178
1.2,65,1152,9,5.7563e-17,0.18735,10,-0.093666
1.2,7,3968,7,0,0.1904,10,-0.042189
1.2,7,8384,1,0,0.22406,10,-0.080174
1.2,50,8000,10,0,0.20282,10,-0.40906
1.2,9,128,2,0,0.22019,10,-0.00097581
1.2,59,192,10,0,0.17658,10,-0.0122
1.2,5,1408,3,0,0.18385,10,-0.010018
1.2,42,512,6,0,0.18449,10,-0.026591
1.2,17,128,5,0,0.17623,10,-0.0023155
1.2,61,512,8,0,0.18036,10,-0.038774
1.2,72,704,6,4.4431e-17,0.18594,10,-0.06186
1.2,33,256,6,0,0.18384,10,-0.0096841
1.2,53,1152,5,4.4496e-17,0.1793,10,-0.080824
1.2,51,4736,9,0,0.19838,10,-0.27795
1.2,50,1600,6,0,0.18789,10,-0.10517
1.2,39,1280,1,4.4427e-17,0.22281,10,-0.056156
1.2,1,1984,6,0,0.1836,10,-0.003306
1.2,87,6144,8,0,0.21276,10,-0.45909
1.2,61,3968,3,0,0.198,10,-0.27299
1.2,99,3968,2,0,0.24372,10,-0.33358
1.2,72,1344,4,4.4472e-17,0.19781,10,-0.11567
1.2,53,3456,8,0,0.18989,10,-0.22748
1.2,15,1664,2,0,0.22152,10,-0.029895
1.2,48,128,8,0,0.17913,10,-0.0063077
1.2,53,4544,2,0,0.235,10,-0.2436
1.2,12,384,2,4.4449e-17,0.22035,10,-0.0045007
1.2,32,448,6,4.4453e-17,0.18413,10,-0.017372
1.2,80,128,9,0,0.18386,10,-0.010055
1.2,90,832,4,0,0.19639,10,-0.086998
1.2,82,7680,9,0,0.22442,10,-0.49595
1.2,62,3072,10,0,0.18726,10,-0.23202
1.2,88,320,10,0,0.17737,10,-0.033228
1.2,89,192,5,0,0.1768,10,-0.018117
1.2,24,2240,6,0,0.18654,10,-0.075636
1.2,85,128,9,0,0.18388,10,-0.010674
1.2,25,1088,4,5.5733e-17,0.19405,10,-0.034819
1.2,62,128,1,0,0.22044,10,-0.0065099
1.2,44,960,4,0,0.19476,10,-0.051273
1.2,22,2368,4,0,0.1956,10,-0.07007
1.2,30,5376,5,4.4502e-17,0.18637,10,-0.21776
1.2,86,1984,6,0,0.19287,10,-0.19782
1.2,82,8768,1,0,0.26808,10,-0.49045
1.2,17,576,3,0,0.18394,10,-0.012142
1.2,89,4544,6,0,0.20843,10,-0.38515
1.2,64,512,6,0,0.18502,10,-0.039745
1.2,51,3328,2,0,0.23033,10,-0.18258
1.2,82,1728,1,0,0.22794,10,-0.14669
1.2,96,2688,1,4.4423e-17,0.2352,10,-0.24598
1.2,53,128,4,0,0.1929,10,-0.0064022
1.2,77,8384,5,0,0.21919,10,-0.51606
1.2,64,512,10,0,0.17768,10,-0.041236
1.2,41,384,6,4.4472e-17,0.18417,10,-0.018325
1.2,26,1088,7,0,0.19019,10,-0.037207
1.2,98,6464,1,0,0.26132,10,-0.45638
1.2,31,320,6,1.0039e-16,0.18392,10,-0.011751
1.2,7,5632,1,0,0.22264,10,-0.052878
1.2,89,320,7,1.0103e-16,0.18996,10,-0.031637
1.2,43,384,9,4.4506e-17,0.1842,10,-0.018986
1.2,78,512,10,0,0.17802,10,-0.04971
1.2,49,4160,1,0,0.23272,10,-0.21511
