Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,2,0,0,3350,0.8,6,1,6.72e-05,29.1043,0,2.99967e-07
1.3,2,0,1,600,0.5,16,3,0,4.2096,0,-6.2507e-11
1.3,6,1,1,4050,0.7,2,2,8.64e-05,0.0097341,0,4.9691e-08
1.3,7,1,0,950,1,10,2,0,0.0034613,0,-2.1878e-10
1.3,7,1,0,3700,0,4,2,0,0.0015193,0,-2.1878e-10
1.3,9,0,1,9400,0.3,6,2,0,265.1515,0,-2.818602e-10
1.3,5,0,0,650,0.4,2,2,0.000312,10.8011,0,8.9174e-08
1.3,8,0,1,8350,0.9,4,2,0,307.4256,0,-2.504152e-10
1.3,5,0,0,8100,0,4,2,0.000144,97.2015,0,3.59829e-08
1.3,6,1,1,500,0.8,4,2,2.88e-05,0.010071,0,8.7662e-09
1.3,9,1,1,900,0.9,2,2,0.0003888,0.0095021,0,5.7303e-08
1.3,9,0,0,650,0.7,8,1,0,24.3022,0,-2.8186e-10
1.3,4,1,1,4050,0,4,2,0.0002112,0.010407,0,6.6497e-08
1.3,6,0,0,9700,0.8,14,2,0,253.5045,0,-1.879068e-10
1.3,3,1,0,1850,0.9,10,2,0,0.0034599,0,-9.3765e-11
1.3,8,0,0,1200,0,12,3,0,23.1045,0,-2.50415e-10
1.3,3,0,1,1600,0.2,8,3,0,13.8168,0,-9.37648e-11
1.3,7,1,1,2350,0.3,2,2,0.0002016,0.0096309,0,5.0952e-08
1.3,2,0,0,2250,0,4,1,0.0001056,10.804,0,3.3349e-07
1.3,5,0,1,5800,0,2,1,0.00012,69.6813,0,1.35078e-07
1.3,4,0,0,1700,0.7,4,2,0.0002112,27.9017,0,6.64972e-08
1.3,7,1,0,1850,1,4,2,0,0.0015193,0,-2.1878e-10
1.3,8,0,1,1200,0.6,6,2,0,37.2322,0,-2.50415e-10
1.3,3,1,0,2500,0.6,6,2,0.0001296,0.0025537,0,5.7462e-08
1.3,2,1,1,1550,0.7,12,2,9.6e-06,0.012762,0,1.8266e-08
1.3,7,0,0,700,0.1,4,3,0,12.9015,0,-2.18784e-10
1.3,7,1,0,1250,1,2,1,0.0004368,0.0014863,0,1.2755e-07
1.3,8,1,1,2350,1,8,3,0,0.011709,0,-2.5042e-10
1.3,8,1,1,9700,1,2,1,0.000192,0.009866,0,8.691e-08
1.3,9,0,0,5150,0.5,2,2,0.0003888,167.7008,0,5.730332e-08
1.3,9,1,0,2550,0.2,2,1,0.0003024,0.0012676,0,8.8174e-08
1.3,3,1,1,6000,0.4,2,3,0.0001008,0.010141,0,8.5717e-08
