e_SQS,queue_size,timeout,e_S3,e_lambda,parallel_instances,lambda_chunk_size,time,cost
1,8,1,1,1,16,24,41.6667,5.01467e-05
1,8,0.8,1,1,32,16,62.5,6.842e-05
1,24,7,1,1,600,300,3.378378,0.001804193
1,220,9,1,1,180,12,125,0.0001474002
1,800,5,1,1,800,164,6.25,0.0006630552
1,120,1,1,1,1,192,5.208333,1.176838e-05
1,8,8,1,1,220,360,2.777778,0.0007955841
1,800,8,1,1,12,164,6.25,1.689008e-05
1,700,7,1,1,300,64,15.625,0.0001124258
1,8,1,1,1,50,300,3.378378,0.0001541796
1,100,0.1,1,1,220,320,3.125,0.0007079306
1,120,8,1,1,600,164,6.25,0.0009910579
1,12,0.8,1,1,800,48,20.83333,0.0004056364
1,1000,10,1,1,120,16,62.5,7.290008e-05
1,600,0.8,1,1,1000,192,4.6875,0.001733501
1,600,0.3,1,1,100,32,31.25,6.405026e-05
1,300,0.3,1,1,500,8,125,0.0001658003
1,180,6,1,1,600,320,3.125,0.00192394
1,400,4,1,1,4,32,31.25,3.717004e-05
1,700,2,1,1,120,128,7.8125,8.541311e-05
1,800,8,1,1,300,300,3.378378,0.000454182
1,800,0.3,1,1,4,64,15.625,2.154504e-05
1,1000,1,1,1,120,320,2.8125,0.0003492153
1,600,0.5,1,1,400,64,14.0625,0.0002452643
1,12,2,1,1,220,300,3.378378,0.0006641837
1,32,2,1,1,1000,300,3.378378,0.003004202
1,100,2,1,1,120,128,7.8125,0.0001622137
1,24,6,1,1,24,8,125,0.00013156
1,800,3,1,1,220,48,20.83333,7.443376e-05
1,500,0.8,1,1,12,128,7.8125,2.397262e-05
1,180,9,1,1,180,32,31.25,8.965046e-05
1,1000,10,1,1,24,24,41.66667,4.822671e-05
1,100,2,1,1,1000,340,2.97619,0.003403803
1,120,0.5,1,1,24,128,7.8125,3.933275e-05
1,600,8,1,1,2,380,2.659574,1.485967e-05
1,8,0.1,1,1,300,64,15.625,0.0002084265
1,1000,3,1,1,2,340,2.97619,1.057624e-05
1,500,9,1,1,400,64,15.625,0.000272427
1,180,9,1,1,400,340,2.97619,0.001363787
