Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
2.1,1,1,1,2200,9,0.6,3700,10,5,2,1,0.00080705,2.4108,0,0.00021908
2.1,3,0,0,5650,2,0,5300,310,6,4,1,0.00023423,0.65786,0,4.9273e-05
2.1,10,0,1,8250,8,0.6,5900,83,7,2,3,0,1.4427,0,0.00013103
2.1,6,0,1,4150,10,0,9150,416,2,10,1,0,1.5219,0,0.00013808
2.1,2,1,0,2750,9,0,10000,31,6,2,2,0.0025824,0.79771,0,6.9928e-05
2.1,8,0,1,5300,5,0.8,7150,65,9,2,2,0.000384,1.4719,0,0.00013374
2.1,3,0,0,7550,9,0.1,7500,645,2,2,3,0.00021294,1.2452,0,4.917e-05
2.1,9,0,0,8600,5,0.2,6000,10,6,6,3,0,2.686,0,2.7795e-05
2.1,4,0,1,1350,3,0.6,1300,173,5,8,3,0,1.6186,0,0.00014697
2.1,9,0,1,1300,7,0.9,9950,416,2,12,2,0,1.4642,0,0.00013275
2.1,1,0,1,8450,9,1,4100,96,2,6,1,0.00032823,2.4433,0,0.00022213
2.1,6,0,1,8600,5,0.6,2950,585,10,8,3,,1.5045,0,
2.1,9,1,0,5250,10,0.2,9550,18,6,14,3,0,3.0393,0,2.8003e-05
2.1,1,0,1,4950,5,0.8,1200,11,9,6,1,0.0001104,2.5223,0,0.00023085
2.1,5,1,1,1950,9,0.2,5550,16,8,8,1,0.000456,1.4995,0,0.00013616
2.1,2,1,0,1350,8,0.4,9050,281,6,4,3,6.6691e-05,0.99921,0,6.9496e-05
2.1,2,0,0,7550,2,1,2250,129,6,2,1,0.0016262,1.3211,0,7.0882e-05
2.1,4,1,0,500,3,0.2,4600,10,10,6,2,3.84e-05,0.58019,0,5.0942e-05
2.1,4,0,1,2500,3,0.3,7950,9,5,2,2,0.0001536,1.6183,0,0.00014705
