Topology,lambda_parallel_instances,lambda_allocated_memory,car_cache,latency,cost,reliability,scalability
1.2,94,320,5,4.4484e-17,0.17745,0,1.6013e-05
1.2,52,1408,6,4.4521e-17,0.1874,0,1.668e-05
1.2,10,3200,7,3.9593e-17,0.19068,0,1.7153e-05
1.2,80,3776,6,0,0.20162,0,1.668e-05
1.2,48,704,8,4.4507e-17,0.18053,0,1.6263e-05
1.2,3,384,8,4.4472e-17,0.17895,0,1.6263e-05
1.2,27,128,4,0,0.19278,0,1.7513e-05
1.2,55,4928,10,0,0.19287,0,1.6013e-05
1.2,61,192,1,0,0.2206,0,2.0013e-05
1.2,43,5632,7,0,0.20407,0,1.7155e-05
1.2,80,2112,7,5.6791e-17,0.19831,0,1.7156e-05
1.2,9,3200,4,0,0.19438,0,1.7513e-05
1.2,59,128,9,0,0.18376,0,1.668e-05
1.2,99,192,6,0,0.18422,0,1.668e-05
1.2,96,256,3,0,0.1845,0,1.668e-05
1.2,25,512,4,0,0.19325,0,1.7513e-05
1.2,97,640,8,4.4453e-17,0.1819,0,1.6263e-05
1.2,7,5184,8,4.4608e-17,0.18123,0,1.6266e-05
1.2,35,1792,10,3.8779e-17,0.17965,0,1.6019e-05
1.2,91,384,3,0,0.18499,0,1.668e-05
1.2,77,9600,6,4.4571e-17,0.23277,0,1.668e-05
1.2,59,5376,6,4.4486e-17,0.20358,0,1.668e-05
1.2,4,6464,6,0,0.18517,0,1.668e-05
1.2,3,7680,7,2.9158e-17,0.19023,0,1.7155e-05
1.2,61,320,1,4.4418e-17,0.22099,0,2.0013e-05
1.2,94,3648,2,0,0.24072,0,2.0013e-05
1.2,18,896,4,4.0349e-17,0.19347,0,1.7515e-05
1.2,33,5632,6,0,0.19526,0,1.668e-05
1.2,8,1088,4,5.5733e-17,0.1931,0,1.7513e-05
1.2,21,2560,7,4.4531e-17,0.19187,0,1.7156e-05
