Topology,car_cache,dynamo_stream,dynamo_ondemand,dynamo_writerate,dynamo_peakcapacity,dynamo_peaktime,dynamo_readrate,sqs_queue_size,sqs_timeout,lambda_parallel_instances,lambda_allocated_memory,latency,cost,reliability,scalability
2.2,1,1,0,1850,7,0.8,6100,75,2,38,8000,0,1.5734,0,0.00011856
2.2,4,1,1,5750,9,0.8,6400,9,5,23,960,0,1.5681,0,0.00014251
2.2,8,1,0,8900,9,0.3,3400,23,2,78,320,0,5.6608,0,2.8975e-05
2.2,6,0,0,1800,2,0.9,1400,79,3,26,960,0,0.73004,0,3.3057e-05
2.2,4,1,0,9850,9,0.7,5500,22,6,47,3072,0,7.0698,0,4.286e-05
2.2,5,1,0,7950,8,0.5,500,157,1,63,7680,2.8718e-17,4.6499,0,3.5933e-05
2.2,10,0,0,5950,6,0.7,2650,10,5,80,192,0,6.8425,0,2.6016e-05
2.2,5,1,0,9050,2,0.1,9400,295,3,36,1408,0,0.785,0,3.5998e-05
2.2,9,0,0,2800,9,0.3,6100,123,5,93,3968,3.0865272771e-17,25332750.3209,0,2814.749795
2.2,1,0,0,6850,7,0.1,4250,17,10,96,704,0,1.4519,0,0.00011659
2.2,5,1,0,2150,5,0.4,5800,31,5,76,2048,0,0.95781,0,3.6322e-05
2.2,9,1,1,7600,1,0.1,8450,19,6,94,384,4.4506e-17,1.4092,0,0.00012804
2.2,10,1,0,3100,5,0.3,7650,35,7,51,320,0,1.5407,0,2.6171e-05
2.2,8,0,1,2150,3,0.5,7000,10,9,44,5376,0,1.4805,0,0.00013426
2.2,8,1,1,7750,4,0.2,7550,9,8,10,1088,0,1.4193,0,0.00012899
2.2,5,0,1,9000,4,0.9,1250,117,10,30,2944,0,1.5293,0,0.00014276
2.2,6,0,1,1500,1,0.2,6000,823,4,48,2432,0,1.5198,0,0.00013806
2.2,3,0,0,750,3,0.9,9450,38,1,20,1024,0,0.80926,0,5.6042e-05
2.2,3,0,0,5550,8,0.8,2950,72,5,59,2432,0,3.42,0,4.9174e-05
2.2,10,0,1,900,6,0,6850,72,2,51,256,0,1.4416,0,0.00013102
2.2,8,0,0,8100,1,0.6,2350,823,1,23,1600,0,0.75721,0,2.8631e-05
2.2,8,1,0,4300,10,1,6650,13,8,2,2240,0,9.4593,0,2.8872e-05
2.2,2,0,1,7200,3,0.3,1200,645,5,46,2368,0,1.9628,0,0.00017949
2.2,9,0,1,2000,10,0.9,800,200,3,51,896,0,1.4615,0,0.00013266
2.2,1,1,0,10000,6,0.9,4550,68,8,15,2368,0,2.6602,0,0.00011846
2.2,8,1,0,3850,10,0.4,650,96,6,30,512,0,3.6971,0,2.8897e-05
2.2,9,1,0,4200,2,0.1,4800,17,5,54,192,0,0.63338,0,2.7968e-05
2.2,10,1,1,10000,4,0,3250,359,6,95,2048,0,1.3898,0,0.00012616
2.2,2,0,1,8400,10,0.8,4550,83,9,18,192,0,1.9079,0,0.00017342
2.2,2,0,1,8300,4,0,7950,342,10,9,256,0,1.8598,0,0.00017875
2.2,7,1,1,6800,3,0.6,2650,157,5,57,7040,0,1.4501,0,0.00013156
2.2,2,1,0,5350,9,0.3,9450,129,9,48,9152,0,1.569,0,6.9566e-05
2.2,3,0,1,4450,6,0.9,3850,157,2,55,1600,0,1.6958,0,0.00015408
2.2,9,1,0,1050,8,0.7,9000,557,10,35,256,0,1.6888,0,2.9139e-05
2.2,8,1,0,7800,8,0.5,3850,72,1,64,192,0,6.9834,0,2.887e-05
2.2,6,0,0,4100,6,0,7500,92,9,21,256,0,0.53147,0,3.3091e-05
2.2,9,1,1,2000,4,0.9,4850,181,6,95,256,0,1.4081,0,0.00012796
2.2,6,1,1,4350,10,1,1650,59,3,81,320,4.4496e-17,1.4684,0,0.00013345
2.2,5,1,0,2800,2,0.7,7600,62,4,62,2112,0,0.76072,0,3.6131e-05
2.2,1,0,1,1200,6,0.6,3950,10,3,69,4544,4.4428e-17,2.4475,0,0.00022229
2.2,6,1,1,7450,5,1,8900,65,5,24,1536,0,1.4685,0,0.00013343
2.2,9,1,1,8750,10,0.4,6550,149,4,33,448,0,1.4089,0,0.00012799
2.2,9,0,0,7250,9,0.5,4700,614,4,71,320,0,8.5338,0,2.7723e-05
2.2,2,0,1,6100,7,0,5450,232,6,36,576,0,1.9079,0,0.00017342
2.2,7,1,0,3750,8,0.5,7500,11,6,88,2816,4.597686342357e-17,157625990.1189,0,-17513.99851881
2.2,4,1,1,2800,9,0.6,7050,200,6,93,256,0,1.5669,0,0.00014242
2.2,6,0,1,2300,4,0,4750,585,2,6,3968,0,1.5197,0,0.00013805
2.2,1,1,1,4500,7,0.7,4200,310,4,49,448,0,2.4029,0,0.00021841
2.2,2,0,1,1900,3,0.3,5650,59,2,16,448,4.4441510679e-17,5629501.4423,0,625.50012167
2.2,3,0,0,7250,9,0,9450,481,8,15,256,0,0.688,0,4.9081e-05
2.2,10,1,0,5800,7,0.1,9450,30,6,87,6144,3.00568812806e-17,56294996.9758,0,-6254.99945551
2.2,6,1,1,4650,8,0.1,6850,149,3,73,640,0,1.4682,0,0.00013341
2.2,6,0,0,9100,9,0.8,9050,864,3,75,2048,0,11.3333,0,3.30605e-05
2.2,5,0,0,2750,5,0,8200,96,10,56,960,0,0.46683,0,3.7771e-05
2.2,7,0,0,4450,6,0.8,7700,8,5,47,6720,0,4.4806,0,3.2071e-05
2.2,3,1,1,9150,7,0.5,7000,75,2,58,1600,0,1.6486,0,0.00014979
2.2,4,0,1,8550,8,0.2,8550,9,6,78,9984,8.9772e-17,1.6473,0,0.00014918
2.2,1,0,0,4150,7,0,4950,68,6,66,7680,0,1.3134,0,0.0001168
2.2,7,0,0,5500,3,0.1,1500,36,3,79,192,0,0.83233,0,3.1263e-05
2.2,6,0,1,2350,1,0.5,8600,92,3,90,192,0,1.5198,0,0.00013804
2.2,8,1,1,9900,6,1,5150,75,9,49,3200,0,1.4203,0,0.00012894
2.2,2,1,0,4750,5,0.7,2000,51,7,9,3968,0,1.5869,0,6.9451e-05
2.2,5,0,1,9700,7,0.1,9900,585,3,10,128,0,1.547,0,0.00014061
2.2,10,1,0,7200,8,0.6,3250,585,6,82,4544,0,9.4361,0,2.6107e-05
2.2,3,0,0,1200,3,0.6,6650,17,5,12,704,0,0.72475,0,4.9097e-05
2.2,1,0,1,5150,8,0.2,6600,101,5,37,1664,4.1265e-17,2.4365,0,0.00022147
2.2,5,0,0,4400,6,0.8,7550,51,8,26,256,0,3.3021,0,3.5631e-05
2.2,1,1,1,8450,6,0.2,7450,49,9,43,7040,2.9629217531e-17,2814752.1749,0,312.75019302
2.2,7,1,0,3950,7,1,2700,49,8,6,1600,0,5.298,0,3.1545e-05
2.2,5,1,0,2050,6,0.3,4600,11,1,15,128,0,0.89938,0,3.6051e-05
2.2,7,1,1,3650,4,0.8,7750,165,5,73,2240,0,1.4488,0,0.00013153
2.2,6,0,1,3050,7,0.4,7700,359,4,27,576,0,1.5192,0,0.00013808
2.2,1,0,0,8050,5,0.1,7950,87,4,75,3648,0,1.4356,0,0.00011657
2.2,3,1,1,700,7,0,6000,243,7,84,3968,0,1.6487,0,0.0001498
2.2,3,0,0,4900,2,0.7,5800,268,7,42,128,0,0.95501,0,4.9078e-05
2.2,4,0,0,2200,7,1,6500,142,8,80,384,0,2.2722,0,4.1902e-05
2.2,2,1,1,1100,4,0.6,3600,62,7,46,256,0,1.864,0,0.00016944
2.2,6,1,1,900,2,1,6850,65,1,96,640,0,1.4691,0,0.00013342
2.2,2,0,0,6950,7,0.1,7200,9,2,100,4736,0,1.1188,0,6.9653e-05
2.2,2,1,0,9200,7,0.3,8450,92,2,7,896,0,1.8256,0,6.9406e-05
2.2,7,0,1,7250,6,0.5,2450,17,9,17,8000,0,1.5051,0,0.00013669
2.2,10,1,1,4200,10,0.6,9250,106,4,59,2240,3.78996796429e-17,28147499.0614,0,3127.49986743
2.2,9,1,0,5000,8,0.7,7750,10,8,59,2816,4.456e-17,6.9405,0,2.8361e-05
2.2,1,0,0,9950,7,0.4,4400,165,6,57,8384,0,2.0557,0,0.00011655
2.2,8,0,0,8250,4,0.2,1000,190,5,63,1728,0,1.9166,0,2.8606e-05
2.2,5,0,1,6400,5,0.7,850,68,8,53,512,0,1.5473,0,0.00014065
2.2,2,0,1,7600,2,0.6,1200,123,8,47,192,0,2.0093,0,0.00018468
2.2,9,0,0,1550,2,0.4,7500,51,10,85,8768,2.969e-17,0.61193,0,2.8723e-05
2.2,9,0,0,4900,1,0,6550,28,5,40,1984,3.4638e-17,0.608,0,2.7837e-05
2.2,7,1,1,6900,4,0,9300,481,5,64,320,0,1.4477,0,0.00013152
2.2,6,1,1,5300,3,0.5,10000,557,2,71,192,0,1.4684,0,0.00013337
2.2,2,0,1,3250,6,0.6,4200,614,10,1,256,0.58264,1.8598,0,0.00024348
2.2,5,1,0,5400,10,0.7,7300,22,10,56,768,0,5.4656,0,3.6114e-05
2.2,6,1,0,700,3,0.8,6600,11,3,11,1664,0,0.58717,0,3.3443e-05
2.2,5,1,0,1800,4,0.1,9550,823,2,83,192,0,0.52595,0,3.5995e-05
