Topology,car_cache,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,fargate_vcpus,fargate_memorylevel,latency,cost,reliability,scalability
1.3,10,1,1,750,0.7,2,2,0.000288,0.0094636,0,4.1756e-08
1.3,3,1,1,2700,0.2,16,2,0,0.013902,0,-9.3765e-11
1.3,6,0,0,2250,0.1,2,2,8.64e-05,35.701,0,4.96906e-08
1.3,3,1,1,900,1,4,1,0.0001008,0.011576,0,2.0615e-07
1.3,10,1,1,4550,0.4,14,2,0,0.013257,0,-3.1328e-10
1.3,2,0,0,900,0.9,6,1,6.72e-05,8.1043,0,2.9997e-07
1.3,5,1,0,1450,0.9,10,1,0,0.0030216,0,5.9387e-09
1.3,5,1,0,650,0.4,4,3,0,0.0017162,0,-1.5636e-10
1.3,6,1,1,3350,0.3,4,2,2.88e-05,0.010071,0,8.7662e-09
1.3,2,0,0,700,0.3,8,1,4.8e-05,4.5046,0,2.6858e-07
1.3,7,0,0,2800,1,10,3,0,95.1037,0,-2.18784e-10
1.3,2,0,0,750,0.9,2,1,0.0007968,6.9038,0,3.0301e-07
1.3,9,1,1,1300,0,10,2,0,0.011962,0,-2.8186e-10
1.3,1,0,1,3000,0.3,2,1,0.000744,9.3164,0,6.2905e-07
1.3,10,0,0,1950,0.4,2,1,0.000624,65.701,0,1.15343e-07
1.3,6,1,1,1350,1,2,1,0.0002016,0.010151,0,1.1973e-07
1.3,1,0,0,1150,0.5,14,3,1.92e-05,4.2057,0,6.0133e-08
1.3,8,0,1,2700,0.7,12,3,0,88.8741,0,-2.50415e-10
1.3,7,1,1,6350,0.9,2,3,0.0001344,0.0095454,0,2.3005e-08
1.3,2,0,0,1450,0.1,2,1,0.0007968,7.8038,0,3.0301e-07
1.3,3,1,0,2800,0.2,4,2,4.32e-05,0.0022429,0,8.5263e-08
1.3,1,0,0,1400,0.9,2,2,0.0003984,6.3045,0,3.8446e-07
1.3,1,0,1,3700,0,12,3,4.32e-05,9.0156,0,1.0425e-07
1.3,8,0,1,900,0,2,2,0.0004224,17.4207,0,6.82607e-08
1.3,4,1,1,2150,0.5,4,3,1.92e-05,0.010276,0,8.6404e-09
1.3,4,1,1,6150,1,10,2,0,0.01196,0,-1.2506e-10
1.3,4,0,0,1050,0.1,8,2,0,11.1026,0,-1.25056e-10
1.3,3,0,1,5450,0.5,2,1,0.000216,59.153,0,2.48205e-07
1.3,7,0,0,7150,0.6,4,2,0,193.5013,0,-2.187842e-10
1.3,8,1,1,1050,1,6,1,3.84e-05,0.010436,0,1.133e-08
1.3,8,1,1,600,0.7,4,1,0.0004224,0.010151,0,8.3253e-08
1.3,7,0,0,3350,0,10,2,0,56.4032,0,-2.18784e-10
1.3,6,1,1,10000,0,2,3,0.0002592,0.0096196,0,4.5192e-08
1.3,8,1,0,3000,0.1,6,3,0,0.0024633,0,-2.5042e-10
1.3,9,0,1,4400,0.2,6,1,0,114.4158,0,-2.818602e-10
1.3,7,1,1,1200,0.4,14,2,0,0.013256,0,-2.1878e-10
1.3,5,1,1,550,0.4,8,2,0,0.011313,0,-1.5636e-10
1.3,4,1,0,3000,0.6,4,2,0.0002112,0.0019067,0,6.6497e-08
1.3,8,1,0,2150,1,6,2,0,0.002167,0,-2.5042e-10
1.3,6,0,0,1200,0.6,16,1,0,27.9044,0,-1.87907e-10
1.3,5,1,1,2000,0.3,10,3,0,0.012454,0,-1.5636e-10
1.3,4,1,0,4700,0.4,8,3,0,0.003208,0,-1.2506e-10
1.3,8,1,1,550,0.9,2,3,3.84e-05,0.0095009,0,7.3323e-09
1.3,4,1,0,1550,0.5,16,1,0,0.004612,0,-1.2506e-10
1.3,9,0,1,6150,0.5,12,1,0,200.274,0,-2.818602e-10
1.3,3,1,1,4700,0.1,2,3,0.0001008,0.010141,0,8.5717e-08
1.3,3,0,0,5650,1,2,3,0.0001008,82.2014,0,8.57173e-08
1.3,3,0,1,950,0.4,4,1,0.0001008,9.6114,0,2.0615e-07
1.3,8,1,0,1650,0.6,6,2,0,0.002167,0,-2.5042e-10
1.3,5,1,0,1600,1,12,2,0,0.0041079,0,-1.5636e-10
1.3,6,1,0,3000,0.6,14,3,0,0.0054471,0,-1.8791e-10
1.3,7,0,1,1200,0.8,2,1,0.0004368,36.6289,0,1.2755e-07
1.3,7,1,0,4850,0.6,6,3,0,0.002463,0,-2.1878e-10
1.3,9,0,1,3250,0.7,12,3,0,120.3987,0,-2.818602e-10
1.3,4,1,0,1300,0.6,2,1,0.0002112,0.0022203,0,1.8425e-07
1.3,3,1,1,800,0.5,2,2,0.0001008,0.010406,0,1.2619e-07
1.3,4,0,0,9700,0,2,3,5.76e-05,93.0012,0,5.26996e-08
1.3,10,0,1,4850,0.7,4,2,0,199.6576,0,-3.132825e-10
1.3,7,1,1,3700,0.2,4,1,0.0002016,0.010261,0,7.0942e-08
1.3,5,0,1,1300,0.3,4,1,0.000312,20.4211,0,1.27155e-07
1.3,5,0,0,2800,0.5,2,3,0.000216,50.701,0,5.20301e-08
1.3,5,0,0,3800,0.7,2,3,0.000216,78.001,0,5.20301e-08
