Topology,lambda_parallel_instances,lambda_allocated_memory,kinesis_ondemand,kinesis_efos,kinesis_records,kinesis_peak,car_cache,latency,cost,reliability,scalability
1.4,32,2560,0,1,1050,0.9,10,0,49.6414,0,-6.07523e-10
1.4,38,2560,1,0,700,0.7,6,4.4501e-17,0.0059071,0,-3.5715e-10
1.4,24,128,1,1,3450,0.6,3,0,0.0078258,0,5.2109e-11
1.4,91,128,1,0,2650,0.8,10,0,0.00066218,0,-1.2443e-10
1.4,52,6464,1,0,500,0.4,4,0,0.022079,0,-3.0355e-10
1.4,15,3776,1,0,550,0.3,9,0,0.0036286,0,-5.8815e-10
1.4,89,512,0,1,950,1,2,0,9.3102,0,-5.65e-11
1.4,64,2240,1,1,4300,0.4,10,0,0.019916,0,-5.7344e-10
1.4,59,8768,0,1,9400,1,10,0,462.6605,0,-7.978553e-10
1.4,17,256,0,0,2900,0.9,5,0,69.1378,0,-9.60372e-11
1.4,71,256,1,0,500,0,1,0,0.00098913,0,2.6303e-11
1.4,72,384,1,1,1150,0.7,9,4.4506e-17,0.010265,0,-2.643e-10
1.4,33,7040,0,0,1850,0.5,10,0,67.8267,0,-7.68622e-10
1.4,59,320,0,1,2200,0.3,9,5.59566e-17,64.5127,0,-2.68915e-10
1.4,74,320,1,1,1400,0.2,3,0,0.010099,0,-5.4775e-11
1.4,22,5888,0,1,1900,0.8,5,0,41.7695,0,-3.59733e-10
1.4,97,128,1,0,4150,0.6,5,0,0.00068896,0,2.0993e-13
1.4,8,256,1,0,10000,0,9,0,0.0003199,0,-2.1093e-10
1.4,47,1216,0,1,3150,0.3,5,0,49.4899,0,-2.27502e-10
1.4,75,1472,1,1,800,0.6,4,0,0.016995,0,-1.9489e-10
1.4,60,256,0,1,3050,0.6,1,0,12.1564,0,2.63029e-11
1.4,15,2816,0,1,2650,0.3,5,4.45451e-17,42.0466,0,-3.00387e-10
1.4,82,576,0,1,9150,0.8,5,0,202.2109,0,-1.682359e-10
1.4,86,640,1,0,1750,0.4,4,4.4453e-17,0.0028922,0,-1.4278e-10
1.4,57,4160,0,0,9150,0.5,1,0,34.0591,0,-6.62175e-11
1.4,40,576,0,1,1800,1,7,5.63296e-17,62.1224,0,-2.4647e-10
1.4,11,6144,1,1,6950,0.7,6,0,0.017428,0,-4.3464e-10
1.4,8,2240,0,0,7850,0.9,4,0,146.4439,0,-2.241565e-10
1.4,27,1408,0,1,2550,0.5,1,0,9.4619,0,-4.0083e-11
1.4,67,9600,1,1,700,1,5,7.2877e-17,0.043108,0,-4.0228e-10
1.4,96,320,1,1,1300,0,8,0,0.010405,0,-2.1667e-10
1.4,44,3200,1,0,600,0.1,6,0,0.0086807,0,-3.8608e-10
1.4,32,1984,1,1,1100,0.9,8,0,0.014939,0,-4.3243e-10
1.4,90,4736,0,1,1600,0.6,4,8.73291e-17,24.8115,0,-3.97379e-08
1.4,57,1216,0,0,700,0.3,9,1.08537e-16,19.9003,0,5.99379e-09
1.4,91,1344,0,1,8600,0.3,9,0,247.881,0,-4.516562e-10
1.4,71,8000,1,1,800,0.9,10,0,0.038098,0,-7.9182e-10
